EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	10:08:58	0	0.1000	0.04417971913126162		_	_	_	_	0.04635057970881462	0.2625	0.2625	0.1511	0.2625	_	0.2641	0.2641	0.1521	0.2641
1	10:09:35	0	0.1000	0.04400471737871941		_	_	_	_	0.04484641179442406	0.27	0.27	0.1561	0.27	_	0.2731	0.2731	0.1581	0.2731
2	10:10:13	0	0.1000	0.04338910803007086		_	_	_	_	0.046545375138521194	0.2975	0.2975	0.1747	0.2975	_	0.2801	0.2801	0.1629	0.2801
3	10:10:49	0	0.1000	0.043461942635917565		_	_	_	_	0.04515866935253143	0.2775	0.2775	0.1611	0.2775	_	0.3115	0.3115	0.1845	0.3115
4	10:11:22	1	0.1000	0.042935468336999634		_	_	_	_	0.04478631541132927	0.3	0.3	0.1765	0.3	_	0.3288	0.3288	0.1968	0.3288
5	10:12:00	0	0.1000	0.04316631138968946		_	_	_	_	0.04429520666599274	0.3075	0.3075	0.1817	0.3075	_	0.2814	0.2814	0.1637	0.2814
6	10:12:33	1	0.1000	0.04264510242336507		_	_	_	_	0.04518019035458565	0.305	0.305	0.1799	0.305	_	0.2673	0.2673	0.1543	0.2673
7	10:13:10	0	0.1000	0.04268146733064598		_	_	_	_	0.04386775940656662	0.3525	0.3525	0.214	0.3525	_	0.3237	0.3237	0.1931	0.3237
8	10:13:43	1	0.1000	0.04218168149458276		_	_	_	_	0.044609714299440384	0.31	0.31	0.1834	0.31	_	0.2686	0.2686	0.1551	0.2686
9	10:14:20	0	0.1000	0.04226879219510662		_	_	_	_	0.04363742470741272	0.375	0.375	0.2308	0.375	_	0.3205	0.3205	0.1908	0.3205
