EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	10:29:17	0	0.1000	0.01807041865798903		_	_	_	_	0.01842459850013256	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
1	10:30:02	0	0.1000	0.01778152427045083		_	_	_	_	0.018381960690021515	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
2	10:30:39	0	0.1000	0.017737587456597658		_	_	_	_	0.018182577565312386	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
3	10:31:21	0	0.1000	0.017757679835705798		_	_	_	_	0.018181495368480682	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
4	10:32:03	1	0.1000	0.017669556929901957		_	_	_	_	0.01813923753798008	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
5	10:32:55	0	0.1000	0.017586062449005173		_	_	_	_	0.018131081014871597	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
6	10:33:46	0	0.1000	0.017568671819909724		_	_	_	_	0.01814080774784088	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
7	10:34:54	0	0.1000	0.017570088312175554		_	_	_	_	0.01808142103254795	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
8	10:35:28	1	0.1000	0.01747783814517113		_	_	_	_	0.018144549801945686	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
9	10:36:06	0	0.1000	0.017460782075136884		_	_	_	_	0.01811443269252777	0.0	0.0	0.0	0.0	_	0.0	0.0	0.0	0.0
